Sample index	Multipacting max (uA)	Pressure max (mBar)	P transmise moy (W)	NI9205_E1	NI9205_E2	NI9205_E3	NI9205_E4	NI9205_E5	NI9205_E6	NI9205_E7	NI9205_MP1l	NI9205_MP2l	NI9205_MP3l	NI9205_MP4l	NI9205_MP5l	NI9205_MP6l	NI9205_MP7l	NI9205_Power1	NI9205_Power2	NI9205_Arc1	NI9205_Penning1	NI9205_Penning2	NI9205_Penning	NI9205_MP8l	T1	T2	T3	T4
576	8.814	0.000000406	325.7	207.3	0.08922	0.09733	0.08774	0.07751	0.08008	0.08018	8.814	8.157	8.157	9.47	42.95	11.77	10.78	334.8	5.214	0.9709	0.000000406	0.0000004311	0.004761	9.987	1413.09	1413.09	1413.09	1413.09
577	8.814	0.0000004654	315.8	205.2	0.08844	0.09633	0.08681	0.07632	0.0791	0.07926	8.814	8.157	7.501	9.47	43.61	12.75	15.38	327.6	5.214	0.9332	0.0000004654	0.0000004667	0.004761	10.97	1413.09	1413.09	1413.09	1413.09
578	10.78	0.0000005529	305.3	203.5	0.08736	0.09531	0.08585	0.07554	0.07822	0.07835	10.78	9.799	9.799	12.75	47.55	15.38	20.63	311.2	5.214	0.9818	0.0000005529	0.0000005213	0.004761	12.78	1413.09	1413.09	1413.09	1413.09
579	8.814	0.0000006921	299.4	203.8	0.0866	0.0944	0.08483	0.07515	0.07779	0.07826	8.814	8.157	7.829	11.44	45.25	14.39	24.9	311.5	5.214	0.943	0.0000006921	0.0000005702	0.004761	14.75	1413.09	1413.09	1413.09	1413.09
580	9.47	0.0000008068	289.9	200.9	0.08581	0.09358	0.08416	0.07402	0.07687	0.0769	9.47	8.157	8.157	12.1	44.92	14.39	28.18	297.1	4.886	0.9608	0.0000008068	0.0000006522	0.004761	17.87	1413.09	1413.09	1413.09	1413.09
581	9.142	0.000001405	285.3	195.3	0.08319	0.09101	0.08185	0.07188	0.07446	0.07423	9.142	7.173	7.829	14.39	47.55	16.04	45.58	293.5	5.214	0.9726	0.000001405	0.0000009425	0.004761	24.43	1413.09	1413.09	1413.09	1413.09
582	25.23	0.000001743	275	193.3	0.08234	0.09008	0.0812	0.07142	0.07384	0.07346	25.23	11.11	10.46	16.69	47.88	18.01	50.83	287.2	4.886	0.9608	0.000001743	0.000001965	0.004761	27.88	1413.09	1413.09	1413.09	1413.09
583	29.82	0.000002005	265.1	193.3	0.08165	0.08904	0.0803	0.071	0.07399	0.07306	29.82	11.11	13.41	19.32	47.22	17.68	54.44	273.5	4.558	0.9565	0.000002005	0.000002463	0.004761	31.49	1413.09	1413.09	1413.09	1413.09
584	34.75	0.000002366	259.1	190.8	0.08024	0.08806	0.07923	0.07004	0.07265	0.07196	34.75	14.39	14.72	20.3	44.27	16.36	59.37	266.2	4.558	0.944	0.000002366	0.000003517	0.004761	33.95	1413.09	1413.09	1413.09	1413.09
585	38.03	0.000002632	257.9	187.5	0.07948	0.08705	0.07841	0.06899	0.07176	0.07071	38.03	20.96	16.36	20.63	42.3	17.35	63.63	264.3	4.886	0.9775	0.000002632	0.000004263	0.004761	36.58	1413.09	1413.09	1413.09	1413.09
586	42.95	0.00000288	258.6	185.8	0.07847	0.08639	0.0776	0.06836	0.07094	0.06993	42.95	28.51	20.3	21.29	41.31	16.36	65.6	264	4.558	0.9979	0.00000288	0.000005023	0.004761	36.9	1413.09	1413.09	1413.09	1413.09
587	45.58	0.000003111	250.5	183.4	0.0776	0.08493	0.07662	0.06755	0.0699	0.06902	45.58	34.75	22.6	23.91	38.69	15.38	67.57	263.6	4.558	0.9427	0.000003111	0.000005681	0.004761	38.55	1413.09	1413.09	1413.09	1413.09
588	48.53	0.00000327	248.9	181.4	0.07641	0.08376	0.07569	0.06697	0.06913	0.06793	48.53	42.3	26.21	25.23	36.39	15.71	68.89	257.7	4.23	0.9591	0.00000327	0.000006288	0.004761	40.35	1413.09	1413.09	1413.09	1413.09
589	50.17	0.00000337	243.5	179.7	0.0756	0.08277	0.07509	0.06612	0.06834	0.06726	50.17	45.58	28.18	25.23	33.43	14.72	68.56	257.4	4.23	0.9926	0.00000337	0.000006644	0.004761	41.34	1413.09	1413.09	1413.09	1413.09
590	49.52	0.000003444	235.6	180.2	0.07503	0.08208	0.0742	0.06588	0.06828	0.06729	49.52	48.86	30.15	25.88	31.14	13.74	69.87	243.9	4.558	0.9798	0.000003444	0.000006885	0.004761	41.17	1413.09	1413.09	1413.09	1413.09
591	51.82	0.000003449	231.4	178.8	0.07437	0.08104	0.07274	0.06508	0.06739	0.06662	51.82	52.8	33.11	27.85	29.17	13.41	69.54	243.9	3.902	0.9992	0.000003449	0.000007119	0.004761	41.34	1413.09	1413.09	1413.09	1413.09
